"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon"
"34F3","NS-IBTS","27.4.c",1,1967,7,5,1.4,3.5,52.75
"34F4","NS-IBTS","27.4.c",1,1967,4,2,2,4.5,52.75
"35F3","NS-IBTS","27.4.c",1,1967,6,4,1.5,3.5,53.25
"35F4","NS-IBTS","27.4.c",1,1967,7,5,1.4,4.5,53.25
"36F0","NS-IBTS","27.4.b",1,1967,6,3,2,0.5,53.75
"36F1","NS-IBTS","27.4.b",1,1967,2,4,0.5,1.5,53.75
"36F2","NS-IBTS","27.4.b",1,1967,4,3,1.33333333333333,2.5,53.75
"36F3","NS-IBTS","27.4.b",1,1967,4,5,0.8,3.5,53.75
"36F4","NS-IBTS","27.4.b",1,1967,1,2,0.5,4.5,53.75
"37F0","NS-IBTS","27.4.b",1,1967,5,7,0.714285714285714,0.5,54.25
"37F1","NS-IBTS","27.4.b",1,1967,5,7,0.714285714285714,1.5,54.25
"37F2","NS-IBTS","27.4.b",1,1967,3,6,0.5,2.5,54.25
"37F3","NS-IBTS","27.4.b",1,1967,5,6,0.833333333333333,3.5,54.25
"37F4","NS-IBTS","27.4.b",1,1967,1,3,0.333333333333333,4.5,54.25
"37F5","NS-IBTS","27.4.b",1,1967,1,2,0.5,5.5,54.25
"37F6","NS-IBTS","27.4.b",1,1967,1,1,1,6.5,54.25
"37F7","NS-IBTS","27.4.b",1,1967,1,2,0.5,7.5,54.25
"38E9","NS-IBTS","27.4.b",1,1967,1,3,0.333333333333333,-0.5,54.75
"38F0","NS-IBTS","27.4.b",1,1967,1,3,0.333333333333333,0.5,54.75
"38F1","NS-IBTS","27.4.b",1,1967,NA,1,NA,1.5,54.75
"38F3","NS-IBTS","27.4.b",1,1967,4,4,1,3.5,54.75
"38F4","NS-IBTS","27.4.b",1,1967,4,7,0.571428571428571,4.5,54.75
"38F5","NS-IBTS","27.4.b",1,1967,6,4,1.5,5.5,54.75
"38F6","NS-IBTS","27.4.b",1,1967,4,7,0.571428571428571,6.5,54.75
"39E9","NS-IBTS","27.4.b",1,1967,1,3,0.333333333333333,-0.5,55.25
"39F0","NS-IBTS","27.4.b",1,1967,1,3,0.333333333333333,0.5,55.25
"39F1","NS-IBTS","27.4.b",1,1967,1,3,0.333333333333333,1.5,55.25
"39F2","NS-IBTS","27.4.b",1,1967,NA,1,NA,2.5,55.25
"39F3","NS-IBTS","27.4.b",1,1967,3,3,1,3.5,55.25
"39F4","NS-IBTS","27.4.b",1,1967,4,4,1,4.5,55.25
"39F5","NS-IBTS","27.4.b",1,1967,5,5,1,5.5,55.25
"39F6","NS-IBTS","27.4.b",1,1967,5,7,0.714285714285714,6.5,55.25
"40E8","NS-IBTS","27.4.b",1,1967,1,4,0.25,-1.5,55.75
"40E9","NS-IBTS","27.4.b",1,1967,NA,1,NA,-0.5,55.75
"40F0","NS-IBTS","27.4.b",1,1967,1,2,0.5,0.5,55.75
"40F1","NS-IBTS","27.4.b",1,1967,2,7,0.285714285714286,1.5,55.75
"40F2","NS-IBTS","27.4.b",1,1967,3,8,0.375,2.5,55.75
"40F3","NS-IBTS","27.4.b",1,1967,1,2,0.5,3.5,55.75
"40F4","NS-IBTS","27.4.b",1,1967,1,2,0.5,4.5,55.75
"40F5","NS-IBTS","27.4.b",1,1967,1,3,0.333333333333333,5.5,55.75
"41E7","NS-IBTS","27.4.b",1,1967,1,1,1,-2.5,56.25
"41E8","NS-IBTS","27.4.b",1,1967,1,1,1,-1.5,56.25
"41F0","NS-IBTS","27.4.b",1,1967,1,1,1,0.5,56.25
"41F1","NS-IBTS","27.4.b",1,1967,1,4,0.25,1.5,56.25
"41F2","NS-IBTS","27.4.b",1,1967,2,6,0.333333333333333,2.5,56.25
"41F3","NS-IBTS","27.4.b",1,1967,1,3,0.333333333333333,3.5,56.25
"41F4","NS-IBTS","27.4.b",1,1967,3,4,0.75,4.5,56.25
"41F5","NS-IBTS","27.4.b",1,1967,2,5,0.4,5.5,56.25
"42E7","NS-IBTS","27.4.b",1,1967,2,3,0.666666666666667,-2.5,56.75
"42F4","NS-IBTS","27.4.b",1,1967,1,2,0.5,4.5,56.75
"42F6","NS-IBTS","27.4.b",1,1967,1,11,0.0909090909090909,6.5,56.75
"42F7","NS-IBTS","27.4.b",1,1967,2,5,0.4,7.5,56.75
"43F4","NS-IBTS","27.4.b",1,1967,NA,3,NA,4.5,57.25
"43F5","NS-IBTS","27.4.b",1,1967,NA,2,NA,5.5,57.25
"43F6","NS-IBTS","27.4.b",1,1967,1,5,0.2,6.5,57.25
"43F8","NS-IBTS","27.3.a",1,1967,NA,2,NA,8.5,57.25
"44F8","NS-IBTS","27.3.a",1,1967,1,4,0.25,8.5,57.75
"44F9","NS-IBTS","27.3.a",1,1967,1,3,0.333333333333333,9.5,57.75
"45F9","NS-IBTS","27.3.a",1,1967,1,4,0.25,9.5,58.25
"45G0","NS-IBTS","27.3.a",1,1967,1,2,0.5,10.5,58.25
"34F2","NS-IBTS","27.4.c",1,1968,1,NA,NA,2.5,52.75
"34F4","NS-IBTS","27.4.c",1,1968,7,6,1.16666666666667,4.5,52.75
"35F2","NS-IBTS","27.4.c",1,1968,8,6,1.33333333333333,2.5,53.25
"36F1","NS-IBTS","27.4.b",1,1968,6,6,1,1.5,53.75
"36F2","NS-IBTS","27.4.b",1,1968,6,7,0.857142857142857,2.5,53.75
"36F3","NS-IBTS","27.4.b",1,1968,4,7,0.571428571428571,3.5,53.75
"36F4","NS-IBTS","27.4.b",1,1968,NA,1,NA,4.5,53.75
"37F0","NS-IBTS","27.4.b",1,1968,6,7,0.857142857142857,0.5,54.25
"37F1","NS-IBTS","27.4.b",1,1968,4,5,0.8,1.5,54.25
"37F2","NS-IBTS","27.4.b",1,1968,4,6,0.666666666666667,2.5,54.25
