"Year","Atlantic","Boreal","Lusitanian","Unknown","F_CODE"
1967,1,4,1,NA,"27.3.a"
1968,NA,3,1,NA,"27.3.a"
1970,1,13,5,NA,"27.3.a"
1971,NA,3,NA,NA,"27.3.a"
1972,4,23,10,4,"27.3.a"
1973,3,17,12,2,"27.3.a"
1974,2,16,12,2,"27.3.a"
1975,3,17,9,2,"27.3.a"
1976,7,17,14,2,"27.3.a"
1977,3,18,13,3,"27.3.a"
1978,5,17,12,1,"27.3.a"
1979,2,17,13,3,"27.3.a"
1980,6,19,15,2,"27.3.a"
1981,1,18,11,4,"27.3.a"
1982,6,21,15,3,"27.3.a"
1983,2,21,13,1,"27.3.a"
1984,5,21,16,1,"27.3.a"
1985,4,19,15,2,"27.3.a"
1986,4,21,15,1,"27.3.a"
1987,5,23,15,1,"27.3.a"
1988,4,18,13,1,"27.3.a"
1989,3,21,11,1,"27.3.a"
1990,3,22,15,1,"27.3.a"
1991,7,25,21,4,"27.3.a"
1992,6,25,20,3,"27.3.a"
1993,7,30,21,5,"27.3.a"
1994,7,28,18,4,"27.3.a"
1995,7,30,21,5,"27.3.a"
1996,8,29,23,3,"27.3.a"
1997,8,30,26,4,"27.3.a"
1998,6,28,25,7,"27.3.a"
1999,7,32,25,7,"27.3.a"
2000,5,29,25,4,"27.3.a"
2001,7,31,24,4,"27.3.a"
2002,7,32,27,6,"27.3.a"
2003,7,29,28,4,"27.3.a"
2004,7,32,29,8,"27.3.a"
2005,7,32,33,6,"27.3.a"
2006,7,26,29,6,"27.3.a"
2007,7,31,32,11,"27.3.a"
2008,6,28,32,9,"27.3.a"
2009,6,27,34,10,"27.3.a"
2010,6,24,27,7,"27.3.a"
2011,7,27,29,9,"27.3.a"
2012,6,31,31,17,"27.3.a"
2013,7,26,30,12,"27.3.a"
2014,7,29,36,13,"27.3.a"
2015,7,32,36,17,"27.3.a"
2016,7,27,30,15,"27.3.a"
2017,9,28,31,14,"27.3.a"
2018,7,29,32,16,"27.3.a"
1996,NA,12,10,1,"27.3.b, c"
1997,NA,12,7,1,"27.3.b, c"
1998,NA,12,5,1,"27.3.b, c"
1999,2,20,15,5,"27.3.b, c"
2000,1,19,11,6,"27.3.b, c"
2001,2,21,18,5,"27.3.b, c"
2002,3,18,19,7,"27.3.b, c"
2003,2,17,18,5,"27.3.b, c"
2004,2,21,20,6,"27.3.b, c"
2005,2,18,18,8,"27.3.b, c"
2006,2,19,21,6,"27.3.b, c"
2007,2,21,21,6,"27.3.b, c"
2008,2,21,18,8,"27.3.b, c"
2009,1,19,18,6,"27.3.b, c"
2010,2,21,24,6,"27.3.b, c"
2011,3,23,22,6,"27.3.b, c"
2012,NA,23,18,4,"27.3.b, c"
2013,NA,23,19,5,"27.3.b, c"
2014,1,21,23,7,"27.3.b, c"
